                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.68139,                0.30602,                0.93317,                0.99815,                0.99872,                0.99406,                0.86651,                0.64681,                0.23655,                0.93633,               0.008119,               0.008119,               0.008119
                     59,                0.68236,                0.30638,                0.93429,                0.99815,                0.99878,                0.99393,                0.86704,                0.64656,                0.23638,                0.93742,               0.008086,               0.008086,               0.008086
                     60,                0.67981,                 0.3058,                0.93354,                0.99808,                0.99861,                0.99388,                0.86679,                0.64545,                0.23565,                0.93691,               0.008053,               0.008053,               0.008053
                     61,                0.67417,                0.30418,                 0.9281,                0.99808,                0.99862,                0.99404,                0.86709,                0.64501,                0.23532,                0.93635,                0.00802,                0.00802,                0.00802
                     62,                0.67971,                0.30566,                0.92251,                0.99814,                0.99868,                  0.994,                0.86709,                0.64531,                0.23497,                0.93448,               0.007987,               0.007987,               0.007987
                     63,                  0.678,                0.30394,                0.92422,                0.99812,                0.99868,                0.99398,                0.86734,                0.64439,                 0.2346,                0.93284,               0.007954,               0.007954,               0.007954
                     64,                0.68096,                0.30531,                0.92564,                0.99809,                0.99868,                 0.9939,                0.86776,                0.64536,                0.23446,                0.93172,               0.007921,               0.007921,               0.007921
                     65,                0.67785,                 0.3052,                0.92319,                0.99803,                0.99868,                0.99388,                0.86784,                0.64536,                0.23445,                0.93069,               0.007888,               0.007888,               0.007888
                     66,                 0.6736,                0.30281,                0.92478,                0.99806,                0.99868,                0.99388,                0.86735,                0.64523,                0.23381,                 0.9298,               0.007855,               0.007855,               0.007855
                     67,                0.67815,                 0.3029,                0.92975,                0.99808,                0.99864,                 0.9939,                0.86775,                0.64475,                0.23365,                0.92946,               0.007822,               0.007822,               0.007822
                     68,                0.67584,                0.30292,                0.92465,                0.99811,                0.99868,                0.99394,                0.86749,                0.64432,                0.23339,                0.92866,               0.007789,               0.007789,               0.007789
                     69,                0.67249,                0.30265,                0.92448,                 0.9981,                0.99868,                0.99394,                0.86784,                0.64407,                0.23319,                0.92902,               0.007756,               0.007756,               0.007756
                     70,                0.67621,                0.30296,                 0.9267,                0.99807,                0.99868,                 0.9939,                 0.8681,                0.64383,                0.23291,                0.92871,               0.007723,               0.007723,               0.007723
                     71,                0.67232,                0.30073,                 0.9231,                0.99808,                0.99868,                 0.9939,                0.86841,                0.64401,                0.23272,                0.92854,                0.00769,                0.00769,                0.00769
                     72,                0.67102,                0.30199,                0.92349,                0.99812,                0.99868,                0.99391,                0.86864,                0.64334,                0.23237,                0.92786,               0.007657,               0.007657,               0.007657
                     73,                 0.6735,                0.30149,                0.92993,                0.99816,                0.99868,                0.99404,                0.86888,                0.64279,                0.23215,                0.92815,               0.007624,               0.007624,               0.007624
                     74,                0.67229,                0.30126,                0.92687,                0.99815,                0.99861,                0.99407,                 0.8693,                0.64252,                0.23242,                0.92858,               0.007591,               0.007591,               0.007591
                     75,                 0.6718,                0.30137,                0.91778,                0.99815,                0.99858,                0.99383,                 0.8692,                0.64206,                0.23216,                0.92755,               0.007558,               0.007558,               0.007558
                     76,                0.67245,                0.30131,                0.91826,                0.99815,                0.99858,                0.99395,                0.86901,                0.64171,                0.23182,                0.92667,               0.007525,               0.007525,               0.007525
                     77,                0.67293,                0.29978,                0.92772,                0.99815,                0.99859,                0.99393,                0.86914,                0.64157,                0.23181,                0.92664,               0.007492,               0.007492,               0.007492
                     78,                0.67155,                0.30085,                0.91856,                0.99821,                0.99867,                0.99406,                0.86949,                 0.6413,                0.23172,                0.92561,               0.007459,               0.007459,               0.007459
                     79,                0.67128,                0.30045,                0.91787,                0.99821,                0.99866,                0.99397,                0.86992,                0.64075,                0.23142,                0.92477,               0.007426,               0.007426,               0.007426
                     80,                0.67106,                0.29954,                0.92817,                0.99817,                0.99868,                0.99397,                0.87005,                0.64046,                0.23136,                0.92495,               0.007393,               0.007393,               0.007393
                     81,                0.66839,                0.29937,                 0.9302,                0.99815,                0.99862,                0.99395,                0.86981,                0.64046,                0.23114,                0.92553,                0.00736,                0.00736,                0.00736
                     82,                0.67052,                0.29823,                0.92729,                0.99815,                0.99863,                0.99395,                0.86966,                0.64036,                0.23099,                0.92574,               0.007327,               0.007327,               0.007327
                     83,                0.66769,                0.29764,                0.92772,                0.99816,                0.99861,                0.99394,                0.86962,                0.64022,                0.23091,                  0.926,               0.007294,               0.007294,               0.007294
